year,mm,dd,hh,mm,ss,aod440,aod675,aod870,aod1020
2013,   1,  25,   2,  13,  29,    1.0296,    0.8017,    0.5995,    0.5166
2013,   1,  25,   3,  13,  57,    0.9132,    0.6635,    0.4827,    0.3949
2013,   1,  25,   4,  13,  23,    0.9183,    0.6181,    0.4453,    0.3452
2013,   1,  25,   7,  13,  20,    0.8774,    0.6084,    0.4434,    0.3527
2013,   1,  25,   7,  42,  51,    0.9182,    0.6306,    0.4606,    0.3745
2013,   1,  25,   8,  11,   2,    0.8197,    0.5601,    0.4138,    0.3415
